,word,freq,map
521,bang,588,no
522,ramai,588,
523,surat,587,
524,bupati,586,
525,sumbang,584,
526,2an,583,no
527,papua,583,
528,jatim,580,
529,solusi,579,
530,daftar,575,
531,pulih,574,
532,tiongkok,570,cina
533,anjur,569,
534,ruang,569,
535,untung,568,
536,resmi,563,
537,menang,561,
538,asa,561,
539,serius,559,
540,nyawa,559,
541,tanggap,558,
542,jabar,557,
543,mikir,557,pikir
544,sabar,555,
545,wakil,554,
546,tanggung,554,
547,vietnam,554,
548,fakta,554,
549,zona,553,
550,pokok,552,
551,pesawat,552,
552,parah,551,
553,saudara,550,
554,to,548,no
555,physical,548,
556,rame,546,ramai
557,umat,542,
558,jenazah,542,
559,gerak,541,
560,rangka,541,
561,massal,541,
562,yah,540,no
563,operasi,538,
564,jiwa,537,
565,sekolah,535,
566,ahli,534,
567,bunuh,534,
568,cc,532,no
569,in,531,no
570,ganti,531,
571,fitri,531,
572,tidur,530,
573,kasi,530,kasih
574,sholat,528,salat
575,nonton,528,tonton
576,muslim,526,
577,rsud,526,
578,yo,525,no
579,contoh,524,
580,perhati,523,
581,krisis,521,
582,berani,520,
583,prediksi,519,
584,pandemik,515,
585,iran,514,
586,an,514,no
587,tulis,510,
588,tenang,510,
589,amin,510,
590,damping,510,
591,banding,509,
592,nang,509,no
593,kerumun,508,
594,produksi,508,
595,loh,508,no
596,akses,508,
597,bersamapolribantuwarga,507,
598,edar,506,
599,produk,506,
600,dengar,503,
601,terimakasih,503,
602,pkb,502,
603,tegal,501,
604,politik,499,
605,kunjung,498,
606,deteksi,497,
607,derita,497,
608,bencana,496,
609,kau,495,no
610,ratus,494,
611,jogja,494,
612,pt,494,
613,inggris,493,
614,idul,492,
615,detikcom,489,
616,ah,489,no
617,polriberbagikasih,487,
618,berat,486,
619,fokus,486,
620,msh,485,no
621,kamis,485,
622,sepi,484,
623,badan,483,
624,kl,482,no
625,bank,482,
626,gagal,482,
627,korsel,481,
628,konspirasi,481,
629,beliau,480,
630,asli,479,
631,potensi,479,
632,bekas,479,
633,bisnis,477,
634,link,476,
635,publik,476,
636,garda,475,
637,beban,474,
638,rindu,473,
639,buruk,469,
640,opsketupatcegahcovid,468,
641,alam,468,
642,satgas,467,
643,sistem,467,
644,hai,466,no
645,pemprov,466,
646,rabu,465,
647,bogor,464,
648,ganjarpranowo,464,
649,kuasa,462,
650,youtube,462,
651,diam,461,
652,gegara,458,gara
653,hrs,457,no
654,proses,457,
655,distribusi,457,
656,barang,457,
657,mbak,455,no
658,senin,455,
659,angkat,453,
660,iki,453,no
661,ttg,453,no
662,ngomong,452,omong
663,biaya,452,
664,pangan,451,
665,19indonesia,450,no
666,tetangga,449,
667,2nya,449,no
668,31mardisinfektanmassal,449,
669,semarang,448,
670,tka,448,
671,dinas,448,
672,bnpb,447,
673,langgar,446,
674,miliar,445,
675,kamtibmas,444,
676,ama,443,no
677,sikap,443,
678,tu,440,no
679,beras,440,
680,lurah,439,
681,makam,438,
682,minum,437,
683,imbas,437,
684,gila,435,
685,potong,435,
686,jamaah,434,jemaah
687,suara,433,
688,tumpang,433,
689,jateng,431,
690,siaga,430,
691,sbg,429,no
692,maksud,429,
693,cnnindonesia,428,
694,tanah,428,
695,saran,427,
696,usia,427,
697,kebal,427,
698,flu,426,
699,sibuk,425,
700,please,425,no
701,ramadan,424,
702,lonjak,424,
703,posko,424,
704,tua,423,
705,efektif,422,
706,cipta,421,
707,keras,421,
708,kpd,421,no
709,phk,420,
710,stop,420,
711,syukur,420,
712,mrk,420,no
713,bodoh,419,
714,tribunnews,419,
715,izin,419,
716,lagu,419,
717,rujuk,418,
718,jajar,418,
719,longgar,417,
720,selasa,416,
721,salam,416,
722,jujur,415,
723,karyawan,415,
724,siang,415,
725,asing,414,
726,detikhealth,413,
727,twitter,412,
728,muka,411,
729,risiko,411,
730,bro,411,no
